,BHK,Bathrooms,Balconies,Price,Developer,Project,Carpet Area,Locality,City,EMI
641,4,4,5,₹18.10 Cr,Elan Group,Elan The Statement,7270,Sector 49,Gurgaon,6.27L
642,4,4,5,₹18.10 Cr,Elan Group,Elan The Statement,7270,Sector 49,Gurgaon,6.27L
643,4,4,5,₹18.41 Cr,Elan Group,Elan The Statement,7395,Sector 49,Gurgaon,6.37L
644,4,4,4,₹10.80 Cr,Elan Group,Elan The Statement,4340,Sector 49,Gurgaon,3.74L
645,4,4,4,₹10.80 Cr,Elan Group,Elan The Statement,4340,Sector 49,Gurgaon,3.74L
646,4,4,4,₹10.66 Cr,Elan Group,Elan The Statement,4285,Sector 49,Gurgaon,3.69L
647,4,4,5,₹18.41 Cr,Elan Group,Elan The Statement,7395,Sector 49,Gurgaon,6.37L
648,4,4,4,₹10.66 Cr,Elan Group,Elan The Statement,4285,Sector 49,Gurgaon,3.69L
649,3,4,2,₹2.95 Cr,Chintels India Pvt. Ltd.,Chintels Serenity,1132,Sector 109,Gurgaon,1.02L
650,3,4,2,₹2.90 Cr,Chintels India Pvt. Ltd.,Chintels Serenity,1132,Sector 109,Gurgaon,1.00L
651,3,4,4,₹2.75 Cr,Chintels India Pvt. Ltd.,Chintels Serenity,1282,Sector 109,Gurgaon,95k
652,3,4,4,₹3.05 Cr,Chintels India Pvt. Ltd.,Chintels Serenity,1282,Sector 109,Gurgaon,1.06L
653,3,4,1,₹3.27 Cr,Chintels India Pvt. Ltd.,Chintels Serenity,1955,Sector 109,Gurgaon,1.13L
654,4,5,3,₹4.40 Cr,Chintels India Pvt. Ltd.,Chintels Serenity,2925,Sector 109,Gurgaon,1.52L
655,4,5,3,₹4.24 Cr,Chintels India Pvt. Ltd.,Chintels Serenity,2925,Sector 109,Gurgaon,1.47L
656,3,3,3,₹2.30 Cr,Chintels India Pvt. Ltd.,Chintels Serenity,1590,Sector 109,Gurgaon,80k
657,4,5,2,₹4.25 Cr,Chintels India Pvt. Ltd.,Chintels Serenity,1551,Sector 109,Gurgaon,1.47L
658,3,3,4,₹2.80 Cr,Chintels India Pvt. Ltd.,Chintels Serenity,1595,Sector 109,Gurgaon,97k
659,2,3,2,₹3.48 Cr,Krisumi Corporation Pvt. Ltd.,Krisumi Waterfall Residency Phase III,1380,Sector 36A,Gurgaon,1.20L
660,3,3,3,₹4.71 Cr,Krisumi Corporation Pvt. Ltd.,Krisumi Waterfall Residency Phase III,2100,Sector 36A,Gurgaon,1.63L
661,,,,₹3.90 Cr,Krisumi Corporation Pvt. Ltd.,Krisumi Waterfall Residency Phase III,1140,Sector 36A,Gurgaon,1.35L
662,2,2,3,₹5.06 Cr,Krisumi Corporation Pvt. Ltd.,Krisumi Waterfall Residency Phase III,2365,Sector 36A,Gurgaon,1.75L
663,3,3,3,₹5.25 Cr,Krisumi Corporation Pvt. Ltd.,Krisumi Waterfall Residency Phase III,1700,Sector 36A,Gurgaon,1.82L
664,2,2,2,Call for Price,Krisumi Corporation Pvt. Ltd.,Krisumi Waterfall Residency Phase III,1500,Sector 36A,Gurgaon,1.26L
665,3,3,4,₹5.78 Cr,Krisumi Corporation Pvt. Ltd.,Krisumi Waterfall Residency Phase III,2700,Sector 36A,Gurgaon,2.00L
666,3,3,3,₹5.14 Cr,Krisumi Corporation Pvt. Ltd.,Krisumi Waterfall Residency Phase III,2300,Sector 36A,Gurgaon,1.78L
667,3,3,5,₹4.75 Cr,Krisumi Corporation Pvt. Ltd.,Krisumi Waterfall Residency Phase III,2700,Sector 36A,Gurgaon,1.64L
668,3,3,3,₹5.28 Cr,Krisumi Corporation Pvt. Ltd.,Krisumi Waterfall Residency Phase III,2100,Sector 36A,Gurgaon,1.83L
669,3,3,4,₹3.35 Cr,M3M India Pvt. Ltd.,M3M Heights,1850,Sector 65,Gurgaon,1.16L
670,2,2,3,₹2.41 Cr,M3M India Pvt. Ltd.,M3M Heights,1261,Sector 65,Gurgaon,84k
671,3,4,3,₹3.90 Cr,M3M India Pvt. Ltd.,M3M Heights,2040,Sector 65,Gurgaon,1.35L
672,2,2,2,₹2.98 Cr,M3M India Pvt. Ltd.,M3M Heights,1420,Sector 65,Gurgaon,1.03L
673,3,4,3,₹3.80 Cr,M3M India Pvt. Ltd.,M3M Heights,2040,Sector 65,Gurgaon,1.32L
674,3,3,3,₹3.50 Cr,M3M India Pvt. Ltd.,M3M Heights,1828,Sector 65,Gurgaon,1.21L
675,3,4,3,₹3.80 Cr,M3M India Pvt. Ltd.,M3M Heights,1800,Sector 65,Gurgaon,1.32L
676,2,2,3,₹2.70 Cr,M3M India Pvt. Ltd.,M3M Heights,800,Sector 65,Gurgaon,93k
677,2,2,2,Call for Price,M3M India Pvt. Ltd.,M3M Heights,1016,Sector 65,Gurgaon,1.13L
678,3,4,3,₹3.35 Cr,M3M India Pvt. Ltd.,M3M Heights,2040,Sector 65,Gurgaon,1.16L
679,3,3,3,₹7.57 Cr,Whiteland Corporation Private Limited,Whiteland Urban Resort,2939,Sector 103,Gurgaon,2.62L
680,3,3,3,₹7.57 Cr,Whiteland Corporation Private Limited,Whiteland Urban Resort,2939,Sector 103,Gurgaon,2.62L
681,3,4,4,₹6.88 Cr,Whiteland Corporation Private Limited,Whiteland Urban Resort,2673,Sector 103,Gurgaon,2.38L
682,4,5,4,₹9.68 Cr,Whiteland Corporation Private Limited,Whiteland Urban Resort,3290,Sector 103,Gurgaon,3.35L
683,4,4,4,₹10.60 Cr,Whiteland Corporation Private Limited,Whiteland Urban Resort,3962,Sector 103,Gurgaon,3.67L
684,3,4,4,₹7.57 Cr,Whiteland Corporation Private Limited,Whiteland Urban Resort,2939,Sector 103,Gurgaon,2.62L
685,4,4,4,₹12.69 Cr,Whiteland Corporation Private Limited,Whiteland Urban Resort,3750,Sector 103,Gurgaon,4.39L
686,3,3,3,₹6.88 Cr,Whiteland Corporation Private Limited,Whiteland Urban Resort,2673,Sector 103,Gurgaon,2.38L
687,3,3,3,₹6.88 Cr,Whiteland Corporation Private Limited,Whiteland Urban Resort,2673,Sector 103,Gurgaon,2.38L
688,3,3,3,₹6.53 Cr,Whiteland Corporation Private Limited,Whiteland Urban Resort,1827,Daulatabad,Gurgaon,2.26L
689,3,3,3,₹4.77 Cr,Elan Buildcon Pvt. Ltd.,Elan The Presidential,1347,Sector 106,Gurgaon,1.65L
690,4,5,4,₹5.0 Cr,Elan Buildcon Pvt. Ltd.,Elan The Presidential,3075,Sector 106,Gurgaon,1.73L
691,4,4,4,₹6.65 Cr,Elan Buildcon Pvt. Ltd.,Elan The Presidential,1702,Sector 106,Gurgaon,2.30L
692,,,,,,,,,,
693,,,,,,,,,,
694,3,4,3,₹5.25 Cr,Elan Buildcon Pvt. Ltd.,Elan The Presidential,2700,Sector 106,Gurgaon,1.82L
695,4,4,4,₹6.45 Cr,Elan Buildcon Pvt. Ltd.,Elan The Presidential,1702,Sector 106,Gurgaon,2.23L
696,4,4,4,₹6.65 Cr,Elan Buildcon Pvt. Ltd.,Elan The Presidential,1702,Sector 106,Gurgaon,2.30L
697,5,5,3,₹8.67 Cr,Elan Buildcon Pvt. Ltd.,Elan The Presidential,2500,Sector 106,Gurgaon,3.00L
698,,,,₹8.39 Cr,Elan Buildcon Pvt. Ltd.,Elan The Presidential,2700,Sector 106,Gurgaon,2.91L
699,3,3,2,₹5.0 Cr,Conscient and Hines,Conscient Elevate,1159,Sector 59,Gurgaon,1.73L
